codigo_imovel,tipo_repasse,codigo_caixa_escolar,ano_parcela,nivel_ensino,etapa_ensino,descricao_repasse,numero_parcela,valor,numero_processo,ano_processo
88,MANUTENCAO,1861,2017,MEDIO E FUNDAMENTAL,,3ª PARCELA DO REPASSE CONVENCIONAL 2017,3,13593.75,,
88,MANUTENCAO,1861,2013,,,REPASSE AS CAIXA ESCOLARES PARA O DESFILE ESTUDANTIL 2013,1,19185,7361,2013
88,MANUTENCAO,1861,2013,MEDIO,,,1,14981.25,7361,2014
88,MANUTENCAO,1861,2013,MEDIO,,,2,14981.25,5607,2013
88,MANUTENCAO,1861,2014,MEDIO,,4º REPASSE CONVENCIONAL REFERENTE AO ANO DE 2013,4,14981.25,74393,2014
88,MANUTENCAO,1861,2014,MEDIO,,1ªPARCELA DO REPASSE CONVENCIONAL,1,14631.25,9815,2015
88,PAGAMENTO TERCEIROS,1861,2014,MEDIO,,REPASSE EXTRA DE RECURSO FINANCEIRO PARA CUSTEAR DESPESAS COM SERVICO DE INSTALACAO DE AR CONDICIONADO.,1,7000,9810,2015
88,MANUTENCAO,1861,2014,MEDIO,,REPASSE EXTRA DE RECURSO FINANCEIRO DESTINADO A DESPESAS COM PEQUENOS SERVICOS DE ENGENHARIA.,1,14000,9810,2015
88,OUTROS,1861,2014,MEDIO E FUNDAMENTAL,,REPASSE EXTRA DE RECURSOS FINANCEIRO PARA CUSTEAR DESPESAS NA COMPRA DE VESTIMENTAS AOS ALUNOS QUE PARTICIPACAO DO ENCONTRO NACIONAL PARLAMENTO JUVENIL DO MERCOSUL,1,960,15117,2015
88,MANUTENCAO,1861,2014,MEDIO,,2ªPARCELA DO REPASSE CONVENCIONAL,2,14631.25,9815,2015
88,MANUTENCAO,1861,2014,,,REPASSE EXTRA DE RECURSO FINANCEIRO DESTINADO A REALIZACAO DO DESFILE ESTUDANTIL 2014.,1,12339,9819,2015
88,MANUTENCAO,1861,2013,MEDIO,,,2,14981.25,5607,2013
88,MANUTENCAO,1861,2014,MEDIO,,4º REPASSE CONVENCIONAL REFERENTE AO ANO DE 2013,4,14981.25,74393,2014
88,MANUTENCAO,1861,2014,MEDIO,,1ªPARCELA DO REPASSE CONVENCIONAL,1,14631.25,9815,2015
88,PAGAMENTO TERCEIROS,1861,2014,MEDIO,,REPASSE EXTRA DE RECURSO FINANCEIRO PARA CUSTEAR DESPESAS COM SERVICO DE INSTALACAO DE AR CONDICIONADO.,1,7000,9810,2015
88,MANUTENCAO,1861,2014,MEDIO,,REPASSE EXTRA DE RECURSO FINANCEIRO DESTINADO A DESPESAS COM PEQUENOS SERVICOS DE ENGENHARIA.,1,14000,9810,2015
88,OUTROS,1861,2014,MEDIO E FUNDAMENTAL,,REPASSE EXTRA DE RECURSOS FINANCEIRO PARA CUSTEAR DESPESAS NA COMPRA DE VESTIMENTAS AOS ALUNOS QUE PARTICIPACAO DO ENCONTRO NACIONAL PARLAMENTO JUVENIL DO MERCOSUL,1,960,15117,2015
88,MANUTENCAO,1861,2014,MEDIO,,2ªPARCELA DO REPASSE CONVENCIONAL,2,14631.25,9815,2015
88,MANUTENCAO,1861,2014,,,REPASSE EXTRA DE RECURSO FINANCEIRO DESTINADO A REALIZACAO DO DESFILE ESTUDANTIL 2014.,1,12339,9819,2015
88,MANUTENCAO,1861,2014,MEDIO,,3ªPARCELA DO REPASSE CONVENCIONAL,3,14631.25,18237,2015
88,MANUTENCAO,1861,2015,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL,1,14012.5,20584,2016
88,MANUTENCAO,1861,2015,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL,2,14012.5,20584,2016
88,MANUTENCAO,1861,2015,MEDIO,,CUSTEIO DE DESPESAS COM O PROJETO JOVEM EMBAIXADOR NOS ESTADOS UNIDOS DA AMERICA.,1,3840,221287,2016
88,MANUTENCAO,1861,2016,,,1º REPASSE DO EMERGENCIAL PARA AS ESCOLAS DO ENSINO MEDIO.,1,2000,221303,2016
88,MANUTENCAO,1861,2016,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL 2016,1,13450,474,2017
88,MANUTENCAO,1861,2016,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL 2016,2,13450,474,2017
88,MANUTENCAO,1861,2016,MEDIO,,3ª PARCELA DO REPASSE CONVENCIONAL 2016,3,13450,476,2017
88,MANUTENCAO,1861,2016,MEDIO,,4ª PARCELA DO REPASSE CONVENCIONAL 2016,4,13450,476,2017
88,OUTROS,1861,2016,MEDIO,,REPASSE EXTRA PARA SUPRIR AS DESPESAS COM ESCOLAS DA REDE ESTADUAL QUE OBTIVERAM OS MELHORES RESULTADOS NO ENEM 2015.,1,10000,451,2017
88,MANUTENCAO,1861,2017,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL 2017,1,13593.75,188486,2017
88,MANUTENCAO,1861,2017,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL 2017,2,13593.75,188486,2017
88,MANUTENCAO,1861,2017,MEDIO E FUNDAMENTAL,,3ª PARCELA DO REPASSE CONVENCIONAL 2017,3,13593.75,,
88,MANUTENCAO,1861,2014,MEDIO,,3º REPASSE CONVENCIONAL REFERENTE AO ANO DE 2013,3,14981.25,74378,2014
88,MANUTENCAO,1861,2013,,,REPASSE AS CAIXA ESCOLARES PARA O DESFILE ESTUDANTIL 2013,1,19185,7361,2013
88,MANUTENCAO,1861,2013,MEDIO,,,1,14981.25,7361,2014
88,MANUTENCAO,1861,2013,MEDIO,,,2,14981.25,5607,2013
88,MANUTENCAO,1861,2014,MEDIO,,4º REPASSE CONVENCIONAL REFERENTE AO ANO DE 2013,4,14981.25,74393,2014
88,MANUTENCAO,1861,2014,MEDIO,,1ªPARCELA DO REPASSE CONVENCIONAL,1,14631.25,9815,2015
88,PAGAMENTO TERCEIROS,1861,2014,MEDIO,,REPASSE EXTRA DE RECURSO FINANCEIRO PARA CUSTEAR DESPESAS COM SERVICO DE INSTALACAO DE AR CONDICIONADO.,1,7000,9810,2015
88,MANUTENCAO,1861,2014,MEDIO,,REPASSE EXTRA DE RECURSO FINANCEIRO DESTINADO A DESPESAS COM PEQUENOS SERVICOS DE ENGENHARIA.,1,14000,9810,2015
88,OUTROS,1861,2014,MEDIO E FUNDAMENTAL,,REPASSE EXTRA DE RECURSOS FINANCEIRO PARA CUSTEAR DESPESAS NA COMPRA DE VESTIMENTAS AOS ALUNOS QUE PARTICIPACAO DO ENCONTRO NACIONAL PARLAMENTO JUVENIL DO MERCOSUL,1,960,15117,2015
88,MANUTENCAO,1861,2014,MEDIO,,2ªPARCELA DO REPASSE CONVENCIONAL,2,14631.25,9815,2015
88,MANUTENCAO,1861,2014,,,REPASSE EXTRA DE RECURSO FINANCEIRO DESTINADO A REALIZACAO DO DESFILE ESTUDANTIL 2014.,1,12339,9819,2015
88,MANUTENCAO,1861,2014,MEDIO,,3ªPARCELA DO REPASSE CONVENCIONAL,3,14631.25,18237,2015
88,MANUTENCAO,1861,2015,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL,1,14012.5,20584,2016
88,MANUTENCAO,1861,2015,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL,2,14012.5,20584,2016
88,MANUTENCAO,1861,2015,MEDIO,,CUSTEIO DE DESPESAS COM O PROJETO JOVEM EMBAIXADOR NOS ESTADOS UNIDOS DA AMERICA.,1,3840,221287,2016
88,MANUTENCAO,1861,2016,,,1º REPASSE DO EMERGENCIAL PARA AS ESCOLAS DO ENSINO MEDIO.,1,2000,221303,2016
88,MANUTENCAO,1861,2016,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL 2016,1,13450,474,2017
88,MANUTENCAO,1861,2016,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL 2016,2,13450,474,2017
88,MANUTENCAO,1861,2016,MEDIO,,3ª PARCELA DO REPASSE CONVENCIONAL 2016,3,13450,476,2017
88,MANUTENCAO,1861,2016,MEDIO,,4ª PARCELA DO REPASSE CONVENCIONAL 2016,4,13450,476,2017
88,OUTROS,1861,2016,MEDIO,,REPASSE EXTRA PARA SUPRIR AS DESPESAS COM ESCOLAS DA REDE ESTADUAL QUE OBTIVERAM OS MELHORES RESULTADOS NO ENEM 2015.,1,10000,451,2017
88,MANUTENCAO,1861,2017,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL 2017,1,13593.75,188486,2017
88,MANUTENCAO,1861,2017,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL 2017,2,13593.75,188486,2017
88,MANUTENCAO,1861,2014,MEDIO,,3º REPASSE CONVENCIONAL REFERENTE AO ANO DE 2013,3,14981.25,74378,2014
88,MANUTENCAO,1861,2014,MEDIO,,3ªPARCELA DO REPASSE CONVENCIONAL,3,14631.25,18237,2015
88,MANUTENCAO,1861,2015,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL,1,14012.5,20584,2016
88,MANUTENCAO,1861,2015,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL,2,14012.5,20584,2016
88,MANUTENCAO,1861,2015,MEDIO,,CUSTEIO DE DESPESAS COM O PROJETO JOVEM EMBAIXADOR NOS ESTADOS UNIDOS DA AMERICA.,1,3840,221287,2016
88,MANUTENCAO,1861,2016,,,1º REPASSE DO EMERGENCIAL PARA AS ESCOLAS DO ENSINO MEDIO.,1,2000,221303,2016
88,MANUTENCAO,1861,2016,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL 2016,1,13450,474,2017
88,MANUTENCAO,1861,2016,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL 2016,2,13450,474,2017
88,MANUTENCAO,1861,2016,MEDIO,,3ª PARCELA DO REPASSE CONVENCIONAL 2016,3,13450,476,2017
88,MANUTENCAO,1861,2016,MEDIO,,4ª PARCELA DO REPASSE CONVENCIONAL 2016,4,13450,476,2017
88,OUTROS,1861,2016,MEDIO,,REPASSE EXTRA PARA SUPRIR AS DESPESAS COM ESCOLAS DA REDE ESTADUAL QUE OBTIVERAM OS MELHORES RESULTADOS NO ENEM 2015.,1,10000,451,2017
88,MANUTENCAO,1861,2017,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL 2017,1,13593.75,188486,2017
88,MANUTENCAO,1861,2017,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL 2017,2,13593.75,188486,2017
88,MANUTENCAO,1861,2017,MEDIO E FUNDAMENTAL,,3ª PARCELA DO REPASSE CONVENCIONAL 2017,3,13593.75,,
88,MANUTENCAO,1861,2014,MEDIO,,3º REPASSE CONVENCIONAL REFERENTE AO ANO DE 2013,3,14981.25,74378,2014
88,MANUTENCAO,1861,2013,,,REPASSE AS CAIXA ESCOLARES PARA O DESFILE ESTUDANTIL 2013,1,19185,7361,2013
88,MANUTENCAO,1861,2013,MEDIO,,,1,14981.25,7361,2014
88,MANUTENCAO,1861,2013,MEDIO,,,2,14981.25,5607,2013
88,MANUTENCAO,1861,2014,MEDIO,,4º REPASSE CONVENCIONAL REFERENTE AO ANO DE 2013,4,14981.25,74393,2014
88,MANUTENCAO,1861,2014,MEDIO,,1ªPARCELA DO REPASSE CONVENCIONAL,1,14631.25,9815,2015
88,PAGAMENTO TERCEIROS,1861,2014,MEDIO,,REPASSE EXTRA DE RECURSO FINANCEIRO PARA CUSTEAR DESPESAS COM SERVICO DE INSTALACAO DE AR CONDICIONADO.,1,7000,9810,2015
88,MANUTENCAO,1861,2014,MEDIO,,REPASSE EXTRA DE RECURSO FINANCEIRO DESTINADO A DESPESAS COM PEQUENOS SERVICOS DE ENGENHARIA.,1,14000,9810,2015
88,OUTROS,1861,2014,MEDIO E FUNDAMENTAL,,REPASSE EXTRA DE RECURSOS FINANCEIRO PARA CUSTEAR DESPESAS NA COMPRA DE VESTIMENTAS AOS ALUNOS QUE PARTICIPACAO DO ENCONTRO NACIONAL PARLAMENTO JUVENIL DO MERCOSUL,1,960,15117,2015
88,MANUTENCAO,1861,2014,MEDIO,,2ªPARCELA DO REPASSE CONVENCIONAL,2,14631.25,9815,2015
88,MANUTENCAO,1861,2014,,,REPASSE EXTRA DE RECURSO FINANCEIRO DESTINADO A REALIZACAO DO DESFILE ESTUDANTIL 2014.,1,12339,9819,2015
88,MANUTENCAO,1861,2014,MEDIO,,3ªPARCELA DO REPASSE CONVENCIONAL,3,14631.25,18237,2015
88,MANUTENCAO,1861,2015,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL,1,14012.5,20584,2016
88,MANUTENCAO,1861,2015,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL,2,14012.5,20584,2016
88,MANUTENCAO,1861,2015,MEDIO,,CUSTEIO DE DESPESAS COM O PROJETO JOVEM EMBAIXADOR NOS ESTADOS UNIDOS DA AMERICA.,1,3840,221287,2016
88,MANUTENCAO,1861,2016,,,1º REPASSE DO EMERGENCIAL PARA AS ESCOLAS DO ENSINO MEDIO.,1,2000,221303,2016
88,MANUTENCAO,1861,2016,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL 2016,1,13450,474,2017
88,MANUTENCAO,1861,2016,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL 2016,2,13450,474,2017
88,MANUTENCAO,1861,2016,MEDIO,,3ª PARCELA DO REPASSE CONVENCIONAL 2016,3,13450,476,2017
88,MANUTENCAO,1861,2016,MEDIO,,4ª PARCELA DO REPASSE CONVENCIONAL 2016,4,13450,476,2017
88,OUTROS,1861,2016,MEDIO,,REPASSE EXTRA PARA SUPRIR AS DESPESAS COM ESCOLAS DA REDE ESTADUAL QUE OBTIVERAM OS MELHORES RESULTADOS NO ENEM 2015.,1,10000,451,2017
88,MANUTENCAO,1861,2017,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL 2017,1,13593.75,188486,2017
88,MANUTENCAO,1861,2017,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL 2017,2,13593.75,188486,2017
88,MANUTENCAO,1861,2017,MEDIO E FUNDAMENTAL,,3ª PARCELA DO REPASSE CONVENCIONAL 2017,3,13593.75,,
88,MANUTENCAO,1861,2014,MEDIO,,3º REPASSE CONVENCIONAL REFERENTE AO ANO DE 2013,3,14981.25,74378,2014
88,MANUTENCAO,1861,2013,,,REPASSE AS CAIXA ESCOLARES PARA O DESFILE ESTUDANTIL 2013,1,19185,7361,2013
88,MANUTENCAO,1861,2013,MEDIO,,,1,14981.25,7361,2014
88,MANUTENCAO,1861,2013,MEDIO,,,2,14981.25,5607,2013
88,MANUTENCAO,1861,2014,MEDIO,,4º REPASSE CONVENCIONAL REFERENTE AO ANO DE 2013,4,14981.25,74393,2014
88,MANUTENCAO,1861,2014,MEDIO,,1ªPARCELA DO REPASSE CONVENCIONAL,1,14631.25,9815,2015
88,PAGAMENTO TERCEIROS,1861,2014,MEDIO,,REPASSE EXTRA DE RECURSO FINANCEIRO PARA CUSTEAR DESPESAS COM SERVICO DE INSTALACAO DE AR CONDICIONADO.,1,7000,9810,2015
88,MANUTENCAO,1861,2014,MEDIO,,REPASSE EXTRA DE RECURSO FINANCEIRO DESTINADO A DESPESAS COM PEQUENOS SERVICOS DE ENGENHARIA.,1,14000,9810,2015
88,OUTROS,1861,2014,MEDIO E FUNDAMENTAL,,REPASSE EXTRA DE RECURSOS FINANCEIRO PARA CUSTEAR DESPESAS NA COMPRA DE VESTIMENTAS AOS ALUNOS QUE PARTICIPACAO DO ENCONTRO NACIONAL PARLAMENTO JUVENIL DO MERCOSUL,1,960,15117,2015
88,MANUTENCAO,1861,2014,MEDIO,,2ªPARCELA DO REPASSE CONVENCIONAL,2,14631.25,9815,2015
88,MANUTENCAO,1861,2014,,,REPASSE EXTRA DE RECURSO FINANCEIRO DESTINADO A REALIZACAO DO DESFILE ESTUDANTIL 2014.,1,12339,9819,2015
88,MANUTENCAO,1861,2014,MEDIO,,3ªPARCELA DO REPASSE CONVENCIONAL,3,14631.25,18237,2015
88,MANUTENCAO,1861,2015,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL,1,14012.5,20584,2016
88,MANUTENCAO,1861,2015,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL,2,14012.5,20584,2016
88,MANUTENCAO,1861,2015,MEDIO,,CUSTEIO DE DESPESAS COM O PROJETO JOVEM EMBAIXADOR NOS ESTADOS UNIDOS DA AMERICA.,1,3840,221287,2016
88,MANUTENCAO,1861,2016,,,1º REPASSE DO EMERGENCIAL PARA AS ESCOLAS DO ENSINO MEDIO.,1,2000,221303,2016
88,MANUTENCAO,1861,2016,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL 2016,1,13450,474,2017
88,MANUTENCAO,1861,2016,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL 2016,2,13450,474,2017
88,MANUTENCAO,1861,2016,MEDIO,,3ª PARCELA DO REPASSE CONVENCIONAL 2016,3,13450,476,2017
88,MANUTENCAO,1861,2016,MEDIO,,4ª PARCELA DO REPASSE CONVENCIONAL 2016,4,13450,476,2017
88,OUTROS,1861,2016,MEDIO,,REPASSE EXTRA PARA SUPRIR AS DESPESAS COM ESCOLAS DA REDE ESTADUAL QUE OBTIVERAM OS MELHORES RESULTADOS NO ENEM 2015.,1,10000,451,2017
88,MANUTENCAO,1861,2017,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL 2017,1,13593.75,188486,2017
88,MANUTENCAO,1861,2017,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL 2017,2,13593.75,188486,2017
88,MANUTENCAO,1861,2017,MEDIO E FUNDAMENTAL,,3ª PARCELA DO REPASSE CONVENCIONAL 2017,3,13593.75,,
88,MANUTENCAO,1861,2014,MEDIO,,3º REPASSE CONVENCIONAL REFERENTE AO ANO DE 2013,3,14981.25,74378,2014
88,MANUTENCAO,1861,2013,,,REPASSE AS CAIXA ESCOLARES PARA O DESFILE ESTUDANTIL 2013,1,19185,7361,2013
88,MANUTENCAO,1861,2013,MEDIO,,,1,14981.25,7361,2014
367,MANUTENCAO,2192,2014,FUNDAMENTAL,,2ªPARCELA DO REPASSE CONVENCIONAL,2,2025,250614,2016
367,MANUTENCAO,2192,2017,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL 2017,1,2212.5,241957,2017
367,MANUTENCAO,2192,2015,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL,1,2143.75,250619,2016
367,MANUTENCAO,2192,2015,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL,1,2143.75,250619,2016
367,MANUTENCAO,2192,2015,FUNDAMENTAL,,1ª PARCELA DO REPASSE CONVENCIONAL,1,2125,250619,2016
367,OUTROS,2192,2016,MEDIO,,REPASSE EXTRA PARA DESPESAS COM ESCOLA QUE OBTIVERAM OS MELHORES RESULTADOS NO ENEM 2016.,1,10000,83942,2017
367,MANUTENCAO,2192,2017,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL 2017,2,2212.5,241957,2017
367,MANUTENCAO,2192,2017,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL 2017,1,2212.5,241957,2017
367,MANUTENCAO,2192,2016,,,SEGUNDO REPASSE EMERGENCIAL PARA ESCOLAS DE ENSINO FUNDAMENTAL E MEDIO.,1,2000,19285,2017
367,MANUTENCAO,2192,2017,FUNDAMENTAL,,1ª PARCELA DO REPASSE CONVENCIONAL 2017,1,2243.75,241957,2017
367,OUTROS,2192,2016,MEDIO,,REPASSE EXTRA PARA DESPESAS COM ESCOLA QUE OBTIVERAM OS MELHORES RESULTADOS NO ENEM 2016.,1,10000,83942,2017
367,MANUTENCAO,2192,2017,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL 2017,2,2212.5,241957,2017
367,MANUTENCAO,2192,2017,FUNDAMENTAL,,2ª PARCELA DO REPASSE CONVENCIONAL 2017,2,2243.75,241957,2017
367,MANUTENCAO,2192,2015,FUNDAMENTAL,,1ª PARCELA DO REPASSE CONVENCIONAL,1,2125,250619,2016
367,OUTROS,2192,2016,MEDIO,,REPASSE EXTRA PARA DESPESAS COM ESCOLA QUE OBTIVERAM OS MELHORES RESULTADOS NO ENEM 2016.,1,10000,83942,2017
367,MANUTENCAO,2192,2017,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL 2017,1,2212.5,241957,2017
367,MANUTENCAO,2192,2017,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL 2017,1,2212.5,,
367,MANUTENCAO,2192,2017,FUNDAMENTAL,,1ª PARCELA DO REPASSE CONVENCIONAL 2017,1,2243.75,,
367,MANUTENCAO,2192,2017,FUNDAMENTAL,,1ª PARCELA DO REPASSE CONVENCIONAL 2017,1,2243.75,241957,2017
367,MANUTENCAO,2192,2017,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL 2017,2,2212.5,,
367,MANUTENCAO,2192,2017,FUNDAMENTAL,,2ª PARCELA DO REPASSE CONVENCIONAL 2017,2,2243.75,,
367,MANUTENCAO,2192,2017,FUNDAMENTAL,,2ª PARCELA DO REPASSE CONVENCIONAL 2017,2,2243.75,241957,2017
367,MANUTENCAO,2192,2017,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL 2017,2,2212.5,241957,2017
367,MANUTENCAO,2192,2017,FUNDAMENTAL,,2ª PARCELA DO REPASSE CONVENCIONAL 2017,2,2243.75,241957,2017
367,MANUTENCAO,2192,2017,FUNDAMENTAL,,1ª PARCELA DO REPASSE CONVENCIONAL 2017,1,2243.75,241957,2017
367,MANUTENCAO,2192,2017,FUNDAMENTAL,,2ª PARCELA DO REPASSE CONVENCIONAL 2017,2,2243.75,241957,2017
367,MANUTENCAO,2192,2016,,,SEGUNDO REPASSE EMERGENCIAL PARA ESCOLAS DE ENSINO FUNDAMENTAL E MEDIO.,1,2000,19285,2017
367,MANUTENCAO,2192,2016,,,SEGUNDO REPASSE EMERGENCIAL PARA ESCOLAS DE ENSINO FUNDAMENTAL E MEDIO.,1,2000,19285,2017
367,MANUTENCAO,2192,2014,FUNDAMENTAL,,2ªPARCELA DO REPASSE CONVENCIONAL,2,2025,250614,2016
367,OUTROS,2192,2016,MEDIO,,REPASSE EXTRA PARA DESPESAS COM ESCOLA QUE OBTIVERAM OS MELHORES RESULTADOS NO ENEM 2016.,1,10000,83942,2017
367,MANUTENCAO,2192,2014,FUNDAMENTAL,,2ªPARCELA DO REPASSE CONVENCIONAL,2,2025,250614,2016
367,MANUTENCAO,2192,2015,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL,1,2143.75,250619,2016
367,MANUTENCAO,2192,2015,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL,1,2143.75,250619,2016
367,MANUTENCAO,2192,2014,FUNDAMENTAL,,2ªPARCELA DO REPASSE CONVENCIONAL,2,2025,250614,2016
367,MANUTENCAO,2192,2017,MEDIO,,2ª PARCELA DO REPASSE CONVENCIONAL 2017,2,2212.5,241957,2017
367,MANUTENCAO,2192,2015,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL,1,2143.75,250619,2016
367,MANUTENCAO,2192,2015,FUNDAMENTAL,,1ª PARCELA DO REPASSE CONVENCIONAL,1,2125,250619,2016
367,MANUTENCAO,2192,2015,FUNDAMENTAL,,1ª PARCELA DO REPASSE CONVENCIONAL,1,2125,250619,2016
367,OUTROS,2192,2016,MEDIO,,REPASSE EXTRA PARA DESPESAS COM ESCOLA QUE OBTIVERAM OS MELHORES RESULTADOS NO ENEM 2016.,1,10000,83942,2017
367,MANUTENCAO,2192,2015,FUNDAMENTAL,,1ª PARCELA DO REPASSE CONVENCIONAL,1,2125,250619,2016
367,MANUTENCAO,2192,2017,MEDIO,,1ª PARCELA DO REPASSE CONVENCIONAL 2017,1,2212.5,241957,2017
367,MANUTENCAO,2192,2016,,,SEGUNDO REPASSE EMERGENCIAL PARA ESCOLAS DE ENSINO FUNDAMENTAL E MEDIO.,1,2000,19285,2017
367,MANUTENCAO,2192,2016,,,SEGUNDO REPASSE EMERGENCIAL PARA ESCOLAS DE ENSINO FUNDAMENTAL E MEDIO.,1,2000,19285,2017
367,MANUTENCAO,2192,2017,FUNDAMENTAL,,1ª PARCELA DO REPASSE CONVENCIONAL 2017,1,2243.75,241957,2017
367,MANUTENCAO,2192,2014,FUNDAMENTAL,,2ªPARCELA DO REPASSE CONVENCIONAL,2,2025,250614,2016
